0	27883					subst:sg.pl:nom.gen.dat.acc.inst.loc.voc:f	cat=ndm	toponym=21 other=146 lastname=27258 firstname=47 acronym=414
1	134					subst:sg.pl:nom.gen.dat.acc.inst.loc.voc:m1|depr:pl:nom.acc.voc:m2	cat=ndm	toponym=1 other=43 lastname=72 firstname=16 acronym=2
2	53					subst:sg.pl:nom.gen.dat.acc.inst.loc.voc:m2	cat=ndm	other=53
3	589					subst:sg.pl:nom.gen.dat.acc.inst.loc.voc:m3	cat=ndm	toponym=26 other=169 acronym=394
4	1615					subst:sg.pl:nom.gen.dat.acc.inst.loc.voc:n:ncol	cat=ndm	toponym=158 other=785 acronym=673
5	10			B	B	subst:sg:nom.acc:m3	lemma=ε lcon=b flex=ε palat=n con=b cat=noun	acronym=10
6	1			Ba	B	subst:sg:gen:m3	lemma=ε lcon=b flex=a palat=n con=b cat=noun	acronym=1
7	5			Bach	B	subst:pl:loc:m3	lemma=ε lcon=b flex=ach palat=n con=b cat=noun	acronym=5
8	5			Bami	B	subst:pl:inst:m3	lemma=ε lcon=b flex=ami palat=n con=b cat=noun	acronym=5
9	5			Bem	B	subst:sg:inst:m3	lemma=ε lcon=b flex=em palat=n con=b cat=noun	acronym=5
10	5			Bom	B	subst:pl:dat:m3	lemma=ε lcon=b flex=om palat=n con=b cat=noun	acronym=5
11	5			Bowi	B	subst:sg:dat:m3	lemma=ε lcon=b flex=owi palat=n con=b cat=noun	acronym=5
12	4			Bu	B	subst:sg:gen:m3	lemma=ε lcon=b flex=u palat=n velar=n con=b cat=noun	acronym=4
13	5			By	B	subst:pl:nom.acc.voc:m3	lemma=ε lcon=b flex=y palat=n con=b cat=noun	acronym=5
14	5			Bów	B	subst:pl:gen:m3	lemma=ε lcon=b flex=ów palat=n con=b cat=noun	acronym=5
15	8			C	C	subst:sg:nom.acc:m3	lemma=ε lcon=c flex=ε palat=t con=c cat=noun	acronym=8
16	3			Ca	C	subst:sg:gen:m3	lemma=ε lcon=c flex=a palat=t con=c cat=noun	acronym=3
17	4			Cach	C	subst:pl:loc:m3	lemma=ε lcon=c flex=ach palat=t con=c cat=noun	acronym=4
18	4			Cami	C	subst:pl:inst:m3	lemma=ε lcon=c flex=ami palat=t con=c cat=noun	acronym=4
19	1			Ce	C	subst:pl:nom.acc.voc:m3	lemma=ε lcon=c flex=e palat=t con=c cat=noun	acronym=1
20	1			Cem	C	subst:sg:inst:m3	lemma=ε lcon=c flex=em palat=t con=c cat=noun	acronym=1
21	4			Com	C	subst:pl:dat:m3	lemma=ε lcon=c flex=om palat=t con=c cat=noun	acronym=4
